CNES - Recursos Físicos - Hospitalar - Leitos de internação - Brasil
Quantidade SUS por Unidade da Federação e Ano/mês compet.
Período:Jan/2025-Jun/2026
"Unidade da Federação";"2025/Jan";"2025/Fev";"2025/Mar";"2025/Abr";"2025/Mai";"2025/Jun";"2025/Jul";"2025/Ago";"2025/Set";"2025/Out";"2025/Nov";"2025/Dez";"2026/Jan";"2026/Fev";"2026/Mar";"2026/Abr";"2026/Mai";"2026/Jun"
"11 Rondônia";3794;3839;3981;4032;4032;4131;4099;4134;4163;4213;4265;4301;4301;4304;4203;4167;4224;4290
"12 Acre";1433;1429;1429;1429;1441;1445;1439;1439;1439;1432;1458;1458;1462;1470;1470;1422;1422;1428
"13 Amazonas";5510;5495;5477;5483;5490;5491;5493;5513;5515;5498;5490;5497;5466;5470;5509;5503;5517;5512
"14 Roraima";1298;1297;1297;1302;1299;1299;1299;1299;1310;1310;1332;1332;1332;1332;1348;1348;1348;1394
"15 Pará";11281;11266;11389;11416;11444;11444;11468;11564;11568;11569;11466;11491;11411;11517;11571;11614;11589;11704
"16 Amapá";1487;1487;1487;1449;1366;1366;1330;1330;1370;1366;1387;1387;1389;1391;1440;1422;1413;1452
"17 Tocantins";2632;2649;2664;2701;2745;2755;2762;2718;2713;2709;2742;2730;2777;2777;2870;2870;2921;2921
"21 Maranhão";13057;13084;13049;13083;13202;13222;13219;13158;13177;13180;13194;13354;13347;13339;13300;13301;13305;13312
"22 Piauí";6127;6115;6181;6202;6108;6098;6111;6039;6129;6118;6134;6162;6124;6129;6129;6152;6148;6147
"23 Ceará";15546;15613;15698;15746;15791;15867;15869;15901;16056;16060;16178;16141;15964;15944;15938;15969;16022;16075
"24 Rio Grande do Norte";6221;6204;6197;6221;6210;6203;6213;6230;6231;6209;6209;6223;6215;6226;6284;6220;6249;6279
"25 Paraíba";7489;7478;7445;7460;7500;7516;7529;7528;7478;7415;7496;7540;7554;7558;7566;7543;7547;7611
"26 Pernambuco";16572;16580;16525;16590;16527;16519;16190;16036;15939;15944;16092;16084;16169;16096;16021;16025;15987;16109
"27 Alagoas";5378;5331;5296;5345;5347;5349;5349;5375;5371;5382;5385;5519;5528;5558;5406;5406;5433;5427
"28 Sergipe";2535;2550;2562;2554;2558;2582;2634;2682;2690;2734;2729;2735;2732;2731;2756;2760;2781;2784
"29 Bahia";25021;25070;25206;25183;25239;25211;25031;24918;24813;24748;24844;24832;24857;24712;24916;25005;25281;25239
"31 Minas Gerais";29148;29201;29185;29293;29286;29307;29290;29335;29430;29389;29380;29348;29233;29339;29389;29778;29800;29608
"32 Espírito Santo";5959;5979;5985;5988;5974;5993;5988;5988;6002;5932;5952;6039;6061;5970;5987;5971;5969;5967
"33 Rio de Janeiro";20840;20740;20793;20872;20832;20814;20942;20980;20986;20977;20976;21051;21035;21025;21105;21061;21130;21318
"35 São Paulo";54535;54901;54494;54463;54476;54466;54508;54555;54468;54557;54619;54645;54770;54700;54688;54722;54747;54847
"41 Paraná";19189;19196;19164;19111;19275;19283;19223;19158;19256;19290;19333;19403;19404;19414;19421;19319;19304;19445
"42 Santa Catarina";11572;11559;11545;11573;11602;11629;11649;11719;11734;11743;11787;11822;11761;11787;11770;11778;11782;11811
"43 Rio Grande do Sul";20119;20262;20185;20107;20028;20005;20008;19992;20115;20205;20285;20350;20346;20345;20252;20100;20025;20022
"50 Mato Grosso do Sul";3974;3976;3976;3992;4040;4051;4001;4004;3985;4031;4034;4033;4040;4042;4039;4058;4044;4045
"51 Mato Grosso";6043;6018;6018;5994;6003;5997;6130;6178;6119;6106;6032;6089;6108;6118;6158;6099;6118;6120
"52 Goiás";12062;12046;12064;12096;12185;12174;12150;12210;12201;12075;12054;12050;11996;11969;11904;11622;11509;11475
"53 Distrito Federal";4934;4948;4942;4940;4938;4876;4859;4850;4872;4874;4880;4913;4957;4964;5014;5000;5000;4869
"00 Ignorado/exterior";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
"Total";313756;314313;314234;314625;314938;315093;314783;314833;315130;315066;315733;316529;316339;316227;316454;316235;316615;317211
 A partir da competência de Janeiro 2010 os dados referentes
 a leitos Complementares foram retirados da consulta referente
 a leitos de Internação, passando a constituir uma consulta específica conforme descrito na Nota Técnica.
 Fonte: Ministério da Saúde - Cadastro Nacional dos Estabelecimentos de Saúde do Brasil - CNES
 Nota:
 - Os dados relativos ao Cadastro Nacional de Estabelecimentos de Saúde (CNES) exibidos no TABNET referem-se aos registros constantes no Banco de Dados Nacional do CNES com status ATIVO.
 - A partir do processamento de junho de 2012, houve mudança na classificação da natureza e esfera dos estabelecimentos. Com isso, temos que:
 
 Até maio de 2012 estas informações estão disponíveis como "Natureza" e "Esfera Administrativa".
 De junho de 2012 a outubro de 2015, estão disponíveis tanto como "Natureza" e "Esfera Administrativa", como "Natureza Jurídica" e "Esfera Jurídica".
 A partir de novembro de 2015, estão disponíveis como "Natureza Jurídica" e "Esfera Jurídica".
 
